Hotel Name, URL
Villa Nautica Maldives,https://www.tripadvisor.com/Hotel_Review-g2104579-d316954-Reviews-Villa_Nautica_Maldives-Lankanfinolhu_Island.html
Emerald Maldives Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g15009258-d14015916-Reviews-Emerald_Maldives_Resort_Spa-Fasmendhoo.html
Sun Siyam Iru Fushi,https://www.tripadvisor.com/Hotel_Review-g4473389-d929150-Reviews-Sun_Siyam_Iru_Fushi-Iru_fushi.html
Villa Park Maldives,https://www.tripadvisor.com/Hotel_Review-g6695208-d503680-Reviews-Villa_Park_Maldives-Nalaguraidhoo_Island.html
Sun Siyam Iru Veli,https://www.tripadvisor.com/Hotel_Review-g3612500-d14787461-Reviews-Sun_Siyam_Iru_Veli-Dhaalu_Atoll.html
Hurawalhi Island Resort,https://www.tripadvisor.com/Hotel_Review-g12200309-d10319603-Reviews-Hurawalhi_Island_Resort-Hurawalhi.html
Raffles Maldives Meradhoo,https://www.tripadvisor.com/Hotel_Review-g10595139-d1963809-Reviews-Raffles_Maldives_Meradhoo-Meradhoo_Island.html
Sun Siyam Olhuveli,https://www.tripadvisor.com/Hotel_Review-g6853009-d316961-Reviews-Sun_Siyam_Olhuveli-Olhuveli_Island.html
Centara Ras Fushi Resort & Spa Maldives,https://www.tripadvisor.com/Hotel_Review-g298571-d3941005-Reviews-Centara_Ras_Fushi_Resort_Spa_Maldives-Male.html
Atmosphere Kanifushi Maldives,https://www.tripadvisor.com/Hotel_Review-g6851953-d5944160-Reviews-Atmosphere_Kanifushi_Maldives-Kanifushi_Island.html
